facility__i_d,measure__i_d,value,footnote,start__date,end__date
30043,MSPB-1,0.979825,,01/01/2022,12/31/2022
30055,MSPB-1,0.87752,,01/01/2022,12/31/2022
30061,MSPB-1,0.958512,,01/01/2022,12/31/2022
30062,MSPB-1,0.877014,,01/01/2022,12/31/2022
30064,MSPB-1,1.004612,,01/01/2022,12/31/2022
30065,MSPB-1,1.039031,,01/01/2022,12/31/2022
30069,MSPB-1,0.917694,,01/01/2022,12/31/2022
30071,MSPB-1,0.723295,,01/01/2022,12/31/2022
30073,MSPB-1,0.847255,,01/01/2022,12/31/2022
30074,MSPB-1,,1.0,01/01/2022,12/31/2022
30078,MSPB-1,0.872288,,01/01/2022,12/31/2022
30083,MSPB-1,0.996005,,01/01/2022,12/31/2022
30084,MSPB-1,0.64585,,01/01/2022,12/31/2022
30085,MSPB-1,1.007433,,01/01/2022,12/31/2022
30087,MSPB-1,0.995057,,01/01/2022,12/31/2022
30088,MSPB-1,0.987097,,01/01/2022,12/31/2022
30089,MSPB-1,1.021249,,01/01/2022,12/31/2022
30092,MSPB-1,0.985216,,01/01/2022,12/31/2022
30093,MSPB-1,0.958272,,01/01/2022,12/31/2022
30094,MSPB-1,1.00518,,01/01/2022,12/31/2022
30101,MSPB-1,0.907939,,01/01/2022,12/31/2022
30103,MSPB-1,0.968081,,01/01/2022,12/31/2022
30105,MSPB-1,1.010629,,01/01/2022,12/31/2022
30107,MSPB-1,0.85416,,01/01/2022,12/31/2022
30108,MSPB-1,0.881395,,01/01/2022,12/31/2022
30110,MSPB-1,0.982014,,01/01/2022,12/31/2022
30111,MSPB-1,0.945578,,01/01/2022,12/31/2022
30112,MSPB-1,0.970324,,01/01/2022,12/31/2022
30113,MSPB-1,0.772816,,01/01/2022,12/31/2022
30114,MSPB-1,0.979915,,01/01/2022,12/31/2022
30115,MSPB-1,0.979489,,01/01/2022,12/31/2022
30117,MSPB-1,0.791927,,01/01/2022,12/31/2022
30119,MSPB-1,1.021428,,01/01/2022,12/31/2022
